tick,health,armor,ammo_bullets,ammo_shells,ammo_cells,ammo_rockets,pos_x,pos_y,pos_z,mom_x,mom_y,mom_z,speed,health_delta,ammo_bullets_delta,ammo_shells_delta,ammo_cells_delta,ammo_rockets_delta,distance_delta,damage_count,attack_down,cheats_flag,god_mode,noclip,infinite_ammo,speedhack,damage_attempts,shots_fired,player_state
6254,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
6256,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
6259,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
6261,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
6264,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6266,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6269,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6271,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6274,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6276,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6279,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6281,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6284,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6286,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6289,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6291,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6294,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6296,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6299,133,70,200,47,0,0,224,-160,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
6301,133,70,200,47,0,0,226,-161,0,327790,4487,0,5.0021,0,0,0,0,0,2.7500,0,0,0,0,0,0,0,0,0,0
6304,133,70,200,47,0,0,246,-160,0,628414,38258,0,9.6066,0,0,0,0,0,20.2144,0,0,0,0,0,0,0,0,0,0
6306,133,70,200,47,0,0,267,-159,0,749164,56318,0,11.4636,0,0,0,0,0,20.2332,0,0,0,0,0,0,0,0,0,0
6309,133,70,200,47,0,0,303,-156,16,861517,59540,0,13.1771,0,0,0,0,0,36.3321,0,0,0,0,0,0,0,0,0,0
6311,133,70,200,47,0,0,330,-154,16,907658,40199,0,13.8633,0,0,0,0,0,26.7313,0,0,0,0,0,0,0,0,0,0
6314,133,70,200,47,0,0,372,-152,14,924657,30621,-196608,14.4321,0,0,0,0,0,42.0965,0,0,0,0,0,0,0,0,0,0
6316,133,70,200,47,0,0,400,-152,7,924657,30621,-327680,14.9762,0,0,0,0,0,28.2338,0,0,0,0,0,0,0,0,0,0
6319,133,70,200,47,0,0,442,-150,0,938534,24990,0,14.3260,0,0,0,0,0,42.3506,0,0,0,0,0,0,0,0,0,0
6321,133,70,200,47,0,0,471,-149,0,959534,16590,0,14.6435,0,0,0,0,0,28.8263,0,1,0,0,0,0,0,0,1,0
6324,133,70,200,46,0,0,507,-149,0,529410,8820,0,8.0793,0,0,-1,0,0,36.5067,0,1,0,0,0,0,0,0,0,0
6326,133,70,200,46,0,0,524,-149,-2,529410,8820,-196608,8.6183,0,0,0,0,0,16.1586,0,1,0,0,0,0,0,0,0,0
6329,133,70,200,46,0,0,548,-148,-14,529410,8820,-393216,10.0635,0,0,0,0,0,24.2378,0,1,0,0,0,0,0,0,0,0
6331,133,70,200,46,0,0,564,-148,-27,529410,8820,-524288,11.3699,0,0,0,0,0,16.1586,0,1,0,0,0,0,0,0,0,0
6334,133,70,200,50,0,0,590,-148,-32,684191,-377,0,10.4399,0,0,4,0,0,25.5345,0,1,0,0,0,0,0,0,0,0
6336,133,70,200,50,0,0,611,-148,-32,788141,-6467,0,12.0265,0,0,0,0,0,21.7515,0,1,0,0,0,0,0,0,0,0
6339,133,70,200,50,0,0,649,-148,-32,883549,-22870,0,13.4864,0,0,0,0,0,37.7331,0,1,0,0,0,0,0,0,0,0
6341,133,70,200,50,0,0,676,-152,-16,755973,-345780,0,12.6846,0,0,0,0,0,27.4531,0,1,0,0,0,0,0,0,0,0
6344,133,70,200,50,0,0,706,-170,0,448140,-308280,0,8.2998,0,0,0,0,0,35.0167,0,1,0,0,0,0,0,0,0,0
6346,133,70,200,50,0,0,719,-178,0,301350,-207690,0,5.5845,0,0,0,0,0,15.1082,0,1,0,0,0,0,0,0,0,0
6349,133,70,200,50,0,0,730,-186,0,166110,-115080,0,3.0835,0,0,0,0,0,13.9254,0,1,0,0,0,0,0,0,0,0
6351,133,70,200,50,0,0,735,-189,0,111510,-77700,0,2.0738,0,0,0,0,0,5.6115,0,1,0,0,0,0,0,0,0,0
6354,133,70,200,50,0,0,739,-192,0,61320,-43260,0,1.1451,0,0,0,0,0,5.1683,0,1,0,0,0,0,0,0,0,0
6356,133,70,200,50,0,0,741,-193,0,41160,-29190,0,0.7700,0,0,0,0,0,2.0830,0,1,0,0,0,0,0,0,0,0
