tick,health,armor,ammo_bullets,ammo_shells,ammo_cells,ammo_rockets,pos_x,pos_y,pos_z,mom_x,mom_y,mom_z,speed,health_delta,ammo_bullets_delta,ammo_shells_delta,ammo_cells_delta,ammo_rockets_delta,distance_delta,damage_count,attack_down,cheats_flag,god_mode,noclip,infinite_ammo,speedhack,damage_attempts,shots_fired,player_state
568,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
570,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
573,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
575,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,1,0,0,0,0,0,0,0,0
578,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
580,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
583,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
585,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
588,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
590,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
593,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
595,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
598,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
600,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
603,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
605,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
608,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
610,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
613,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
615,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0
618,100,0,50,0,0,0,165,-1344,64,494550,0,0,7.5462,0,0,0,0,0,13.3257,0,0,256,0,0,0,1,0,0,0
620,100,0,50,0,0,0,179,-1344,80,332640,0,0,5.0757,0,0,0,0,0,13.7338,0,0,256,0,0,0,1,0,0,0
623,100,0,50,0,0,0,191,-1344,80,183330,0,0,2.7974,0,0,0,0,0,12.6508,0,0,256,0,0,0,1,0,0,0
625,100,0,50,0,0,0,196,-1344,80,123270,0,0,1.8810,0,0,0,0,0,5.0917,0,0,256,0,0,0,1,0,0,0
628,100,0,50,0,0,0,201,-1344,80,67830,0,0,1.0350,0,0,0,0,0,4.6848,0,0,256,0,0,0,1,0,0,0
630,100,0,50,0,0,0,203,-1344,80,45360,0,0,0.6921,0,0,0,0,0,1.8810,0,0,256,0,0,0,1,0,0,0
633,100,0,50,0,0,0,205,-1344,80,24780,0,0,0.3781,0,0,0,0,0,1.7239,0,0,256,0,0,0,1,0,0,0
635,100,0,50,0,0,0,205,-1344,80,16380,0,0,0.2499,0,0,0,0,0,0.6857,0,0,256,0,0,0,1,0,0,0
638,100,0,50,0,0,0,206,-1344,80,8610,0,0,0.1314,0,0,0,0,0,0.6152,0,0,256,0,0,0,1,0,0,0
640,100,0,50,0,0,0,206,-1344,80,5670,0,0,0.0865,0,0,0,0,0,0.2371,0,0,256,0,0,0,1,0,0,0
643,100,0,50,0,0,0,206,-1344,80,-270336,0,0,4.1250,0,0,0,0,0,0.2147,0,0,256,0,0,0,1,0,0,0
645,100,0,50,0,0,0,193,-1344,80,-1012476,0,0,15.4492,0,0,0,0,0,13.3257,0,0,256,0,0,0,1,0,0,0
648,100,0,50,0,0,0,120,-1344,78,-2293760,0,-196608,35.1283,0,0,0,0,0,73.2861,0,0,256,0,0,0,1,0,0,0
650,100,0,50,0,0,0,50,-1344,71,-2293760,0,-327680,35.3553,0,0,0,0,0,70.0000,0,0,256,0,0,0,1,0,0,0
653,100,0,50,0,0,0,-55,-1344,64,-2293760,6216,0,35.0001,0,0,0,0,0,105.0000,0,0,256,0,0,0,1,0,0,0
655,100,0,50,0,0,0,-125,-1344,62,-2293760,13986,-196608,35.1290,0,0,0,0,0,70.0004,0,0,256,0,0,0,1,0,0,0
658,100,0,50,0,0,0,-230,-1343,50,-2293760,31468,-393216,35.5138,0,0,0,0,0,105.0049,0,0,256,0,0,0,1,0,0,0
660,100,0,50,0,0,0,-300,-1342,37,-2293760,31468,-524288,35.9059,0,0,0,0,0,70.0066,0,0,256,0,0,0,1,0,0,0
663,100,0,50,0,0,0,-405,-1341,10,-2293760,31468,-720896,36.6910,0,0,0,0,0,105.0099,0,0,256,0,0,0,1,0,0,0
665,100,0,50,0,0,0,-475,-1340,0,-1881600,25620,0,28.7136,0,0,0,0,0,70.0066,0,0,256,0,0,0,1,0,0,0
668,100,0,50,0,0,0,-569,-1338,0,-2293760,74665,0,35.0185,0,0,0,0,0,94.2087,0,0,256,0,0,0,1,0,0,0
670,100,0,50,0,0,0,-639,-1335,0,-1881600,81060,0,28.7376,0,0,0,0,0,70.0501,0,0,256,0,0,0,1,0,0,0
673,100,0,50,0,0,0,-692,-1332,8,-1038870,44520,0,15.8664,0,0,0,0,0,52.3535,0,0,256,0,0,0,1,0,0,0
675,100,0,50,0,0,0,-692,-1331,8,-699300,29610,0,10.6800,0,0,0,0,0,1.2337,0,0,256,0,0,0,1,0,0,0
678,100,0,50,0,0,0,-692,-1330,8,-386400,16170,0,5.9012,0,0,0,0,0,1.1215,0,0,256,0,0,0,1,0,0,0
680,100,0,50,0,0,0,-692,-1329,8,7773,120868,0,1.8481,0,0,0,0,0,0.9192,0,0,256,0,0,0,1,0,0,0
683,100,0,50,0,0,0,-677,-1318,8,1028916,505585,-131072,17.6070,0,0,0,0,0,18.2221,0,0,256,0,0,0,1,0,0,0
685,100,0,50,0,0,0,-639,-1300,3,188670,0,-262144,4.9283,0,0,0,0,0,42.5051,0,0,256,0,0,0,1,0,0,0
688,100,0,50,0,0,0,-622,-1301,0,1023628,-94621,0,15.6859,0,0,0,0,0,16.5950,0,0,256,0,0,0,1,0,0,0
690,100,0,50,0,0,0,-583,-1304,0,2145028,-237946,0,32.9313,0,0,0,0,0,39.1016,0,0,256,0,0,0,1,0,0,0
