tick,health,armor,ammo_bullets,ammo_shells,ammo_cells,ammo_rockets,pos_x,pos_y,pos_z,mom_x,mom_y,mom_z,speed,health_delta,ammo_bullets_delta,ammo_shells_delta,ammo_cells_delta,ammo_rockets_delta,distance_delta,damage_count,attack_down,cheats_flag,god_mode,noclip,infinite_ammo,speedhack,damage_attempts,shots_fired,player_state
2906,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0
2909,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0
2911,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0
2914,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2916,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2919,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2921,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2924,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2926,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2929,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2931,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2934,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
2936,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
