tick,health,armor,ammo_bullets,ammo_shells,ammo_cells,ammo_rockets,pos_x,pos_y,pos_z,mom_x,mom_y,mom_z,speed,health_delta,ammo_bullets_delta,ammo_shells_delta,ammo_cells_delta,ammo_rockets_delta,distance_delta,damage_count,attack_down,cheats_flag,god_mode,noclip,infinite_ammo,speedhack,damage_attempts,shots_fired,player_state
345,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0
348,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0
350,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0
353,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
355,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
358,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
360,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
363,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
365,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
368,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
370,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
373,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
375,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
378,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
380,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
383,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
385,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
388,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
390,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
393,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
395,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
398,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
400,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
403,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
405,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
408,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
410,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
413,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
415,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
418,100,0,50,0,0,0,152,-1344,64,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
